Model,CometReferenceModel,JenningsReferenceModel,Cap,PeakTestVoltage,RFPeakWorkingVoltage,MaxRFCurrent,DimensionsDiam,DimensionsLength,MaximumWeight
CKY-1(CKT1/18/8),,CKY-1-0030S,1±0.15,30,18,8,19.3,83.5,0.057
CKY-2(CKT2/18/9),,CKY-2-0030S,2±0.15,30,18,9,19.3,83.5,0.057
CKY-3(CKT3/18/10),,CKY-3-0030S,3±0.15,30,18,10,19.3,83.5,0.057
CKY-5(CKT5/18/12),,CKY-5-0030S,5±0.15,30,18,12,19.3,83.5,0.0567
CKT-6-0035,,CKT-6-0035,6±5%,35,25,47,59,165.1,0.624
VC1C-10-0015,MC1C 10E,,10 ±5%,15,9,7,48,62,0.39
CKT-12-0035,CF3C-12G,CKT-12-0035,12±5%,35,25,52,59,165.1,0.624
CKT1-25-0025,,CKT1-25-0025,25 ±5%,25,15,50,68,114,0.624
CKT1-25-0030,-,CKT1-25-0030,25±5%,25,18,50,68,114,0.624
CKT-25-0035,CF3C-25H,CKT-25-0035,25±5%,35,25,67,59,165.1,0.624
VC1C-25-0015,MC1C 25E,,25±5%,15,9,16,48,62,0.39
CKT1-50-0025,,CKT1-50-0025,50 ±5%,25,15,60,68,114,0.624
CKT1-50-0030,,CKT1-50-0030,50±5%,25,18,60,68,114,0.624
CKT-50-0035,CF3C-50G,CKT-50-0035,50±5%,35,25,77,59,165.1,0.624
VC1C-50-0015,MC1C 50E,,50 ±5%,15,9,32,48,62,0.39
VC2C-50,MC2C 50E,,50 ±5%,30/25/20,18/15/12,108,48,73,0.38
CF2-60-0015,,CF1-60-0015,60 ±5%,15,9,40,44.5,62.3,0.26
CF2-70-0015,,CF1-70-0015,70 ±5%,15,9,45,44.5,62.3,0.26
VC1C-70-0015,MC1C 70E,,70 ±5%,15,9,45,48,62,0.39
CKT1-75-0025,,CKT1-75-0025,75 ±5%,25,15,65,68,114,0.624
CKT1-75-0030,-,CKT1-75-0030,75±5%,30,18,65,68,114,0.624
CKT-75-0035,CF3C-75E,CKT-75-0035,75±5%,35,25,82,59,165.1,0.624
CF2-80-0015,,CF1-80-0015,80±5%,15,9,76,44.5,62.3,0.26
VC1C-80-0015,MC1C 80B&E,,80±5%,15,9,51,48,62,0.39
CF2-90-0015,,CF1-90-0015,90 ±5%,15,9,62,44.5,62.3,0.26
VC1C-90-0015,MC1C 90E,,90 ±5%,15,9,62,48,62,0.39
CF2-100-0015,-,CF1-100-0015,100±5%,15,9,80,45,62.1,0.26
CFC-100-35S,,CFC-100-35S,100±5%,35,21,126,64,87,1
CKT1-100-0025,,CKT1-100-0025,100 ±5%,25,15,70,68,114,0.624
CKT1-100-0030,,CKT1-100-0030,100±5%,30,18,75,68,114,0.624
CKT-100-0035,CF2C 100F,CKT-100-0035,100±5%,35,25,87,59,165.1,0.624
VC1C-100-0015,MC1C 100E,CF3-100-0015,100 ±5%,15,9,54,48,62,0.39
VC2C-100,MC2C 100E,,100 ±5%,30/25/20,18/15/12,128,48,73,0.38
CF2-120-0010,,CF1-120-0010,120±5%,10,6,71,45,62.1,0.26
VC1C-120-0015,MC1C 120E,,120 ±5%,15,9,70,48,62,0.38
VC1C-130-0015,MC1C 130E,,130 ±5%,15,9,83,48,62,0.39
CF2-147-0010,,CF1-147-0010,147 ±5%,10,6,75,44.5,62.3,0.26
CF2-150-0010,,CF1-150-0010,150±5%,10,6,76,44.5,62.1,0.26
CKT-150-0030,CF2C-150E,CKT-150-0030,150±5%,30,20,90,67.5,165.1,0.85
VC1C-150-0015,MC1C 150E,,150 ±5%,15,9,96,48,62,0.39
VC2C-150,MC2C 150E,,150 ±5%,30/25/20,18/15/12,83,48,73,0.38
CFC-175-35S,,CFC-175-35S,175±5%,35,21,168,64,87,1
CF2-180-0010,,CF1-180-0010,180 ±5%,10,6,100,44.5,62.3,0.253
