Model,CometReferenceModel,JenningsReferenceModel,Cap,PeakTestVoltage,RFPeakWorkingVoltage,MaxRFCurrent,DimensionsDiam,DimensionsLength,MaximumWeight,link
CKTB50/15/50,-,-,6-50,21,15,50,60,188,0.8,/UpLoad/201407/2014070235259125.jpg
VCDD-50-7.5S,,CVDD-50-7.5S,6.5-50,7.5,4.5,30,61.96,138.18,0.7,/UpLoad/201407/2014070234339345.jpg
VCDD-50-10S,,CVDD-50-10S,6.5-50,10,6,40,61.96,138.18,0.7,/UpLoad/201407/2014070234138453.jpg
VCDD-50-15S,,CVDD-50-15S,6.5-50,15,9,60,61.96,138.18,0.7,/UpLoad/201408/2014080532181611.jpg
VC2C-50E,CV2C-50E,-,8-50,35/30/25,21/18/15,63,70,158,1.2,/UpLoad/201407/2014070234992281.jpg
VC3C-75E,CV3C-75E,-,10-75,60/55/50,36/33/30,79,116,196,8.5,/UpLoad/201408/2014080532233657.jpg
CKTB100/15/60,-,-,8-100,21,15,60,79,219,1.5,/UpLoad/201407/2014070233638001.jpg
VCDD-100-7.5S,CV1C-100J,CVDD-100-7.5S,10-100,7.5,4.5,60,62,168.15,0.74
VCDD-100-10S,CV1C-100J,CVDD-100-10S,10-100,10,6.0,65,62,168.15,0.74,
VCDD-100-15S,CV1C-100J,CVDD-100-15S,10-100,15,9.0,77,62,168.15,0.74,
CKTB120/15/60,-,-,10-120,21,15,60,79,219,1.5,
VCFP-250-30S,CV2C-250E,CVFP-250-30S,15-250,30,18,140,142.8,243.84,4.3,
VCFP-250-35S,CV2C-250E,CVFP-250-35S,15-250,35,21,150,142.8,243.84,4.3,
VCFP-250-40S,CV2C-250E,CVFP-250-40S,15-250,40,24,160,142.8,243.84,4.3,
VCHP-250-45S,CV3C-250EF,CVHP-250-45S,10-250,45,27,180,183,302.3,8.1,,/UpLoad/201407/2014070233220407.jpg
VCHP-250-50S,CV3C-250EF,CVHP-250-50S,10-250,50,30,200,183,302.3,8.1,/UpLoad/201407/2014070233133861.jpg
VCHP-250-55S,CV3C-250EF,CVHP-250-55S,10-250,55,33,220,183,302.3,8.1,/UpLoad/201407/2014070233054047.jpg
VCDD-300-7.5S,CV1C-300EW,CVDD-300-7.5S,10-300,7.5,4.5,75,87.4,191,1.4,/UpLoad/201407/2014070232833611.jpg
VCDD-300-10S,CV1C-300EW,CVDD-300-10S,10-300,10,6,80,87.4,191,1.4,/UpLoad/201407/2014070232658829.jpg
VCDD-300-15S,CV1C-300EW,CVDD-300-15S,10-300,15,9,85,87.4,191,1.4,/UpLoad/201407/2014070232512111.jpg
CKTB400/7.5/60,-,-,8-400,12.5,7.5,60,80,219,1.5,/UpLoad/201407/2014070332159841.jpg
CKTB400/15/60,-,-,8-400,21,15,60,80,219,1.5,/UpLoad/201407/2014070332504199.jpg
VCDD-400-7.5S,CV1C-400EW,CVDD-400-7.5S,20-400,7.5,4.5,80,87.4,191,1.5,/UpLoad/201407/2014070331998465.jpg
